# ###########################################################
# Power Spectrum Measurement 2019-05-29 11:27:51.143275
# ###########################################################
# Galaxy Catalog: Patchy-Mocks-DR12NGC-COMPSAM_V6C_0001.dat
# Random Catalog: Patchy-Mocks-Randoms-DR12NGC-COMPSAM_V6C_x50.dat
# ###########################################################
# Omega_m0 = 0.307115
# (n_x, n_y, n_z) = (700, 700, 700)
# (L_x, L_y, L_z) = (3500, 3500, 3500)
# (kx_Ny, ky_Ny, kz_Ny) = (0.63, 0.63, 0.63)
# (n_kbins, dk) = (120, 0.005)
# P_0 = 10000.0
# z_eff = 0.61
# n(z_eff) = 0.0002068020341110736
# Total Volume = 2793308269.42 [h^-1 Mpc]^3
# alpha = 0.01995435
# Normalisation = 9.06411649
# Shot Noise = 6856.99
# Grid Interpolation Scheme: tsc
# Interlacing = True
# ###########################################################
# k_central, k_mean, n_modes, P0, P2, P4
0.4825 0.48250957 2527610 1299.75 -424.39 222.49
0.4875 0.48750882 2581276 1292.65 -430.67 220.72
0.4925 0.49250836 2633638 1279.18 -467.28 204.61
0.4975 0.49751054 2690954 1239.03 -478.32 220.49
0.5025 0.50250924 2738098 1200.51 -497.25 260.41
0.5075 0.50750613 2798146 1165.71 -492.34 216.50
0.5125 0.51250910 2855180 1125.86 -488.61 193.33
0.5175 0.51750794 2904490 1107.67 -473.25 181.75
0.5225 0.52250674 2967506 1105.28 -459.29 244.61
0.5275 0.52751124 3024994 1087.38 -485.44 285.25
0.5325 0.53251164 3077314 1049.21 -500.88 240.01
0.5375 0.53750985 3137924 1028.53 -438.06 155.26
0.5425 0.54250627 3191434 1023.86 -466.60 177.40
0.5475 0.54750357 3256730 1016.01 -500.87 227.07
0.5525 0.55250691 3318586 995.60 -501.55 174.93
0.5575 0.55750722 3372676 965.97 -551.24 252.27
0.5625 0.56250780 3440018 966.80 -531.92 226.80
0.5675 0.56750820 3494458 931.06 -490.13 195.71
0.5725 0.57250524 3558770 950.66 -505.09 227.37
0.5775 0.57750626 3624370 927.80 -497.68 241.35
0.5825 0.58250790 3685228 911.86 -508.44 159.81
0.5875 0.58750742 3747602 866.92 -442.26 179.42
0.5925 0.59250503 3809890 890.68 -511.22 258.61
0.5975 0.59750618 3881978 864.07 -555.45 313.52
