# ###########################################################
# Power Spectrum Measurement 2019-05-18 05:27:00.295446
# ###########################################################
# Galaxy Catalog: Patchy-Mocks-DR12CMASSLOWZTOT-N-V6S-Portsmouth-mass_0001.dat
# Random Catalog: Random-DR12CMASSLOWZTOT-N-V6S-x50.dat
# ###########################################################
# Omega_m0 = 0.307115
# (n_x, n_y, n_z) = (700, 700, 700)
# (L_x, L_y, L_z) = (3500, 3500, 3500)
# (kx_Ny, ky_Ny, kz_Ny) = (0.63, 0.63, 0.63)
# (n_kbins, dk) = (120, 0.005)
# P_0 = 10000.0
# z_eff = 0.61
# n(z_eff) = 0.00020295291640096827
# Total Volume = 2793308269.42 [h^-1 Mpc]^3
# alpha = 0.01994901
# Normalisation = 9.06169239
# Shot Noise = 6851.09
# Grid Interpolation Scheme: tsc
# Interlacing = True
# ###########################################################
# k_central, k_mean, n_modes, P0, P2, P4
0.4875 0.48750882 2581276 1547.10 -164.00 142.07
0.4925 0.49250836 2633638 1517.60 -141.28 104.87
0.4975 0.49751054 2690954 1475.36 -146.14 77.86
0.5025 0.50250924 2738098 1444.00 -144.43 73.41
0.5075 0.50750613 2798146 1448.06 -204.62 83.18
0.5125 0.51250910 2855180 1359.99 -117.48 119.74
0.5175 0.51750794 2904490 1344.27 -112.42 111.49
0.5225 0.52250674 2967506 1348.65 -93.53 104.42
0.5275 0.52751124 3024994 1320.58 -159.41 122.38
0.5325 0.53251164 3077314 1307.49 -184.47 83.05
0.5375 0.53750985 3137924 1297.81 -176.00 63.12
0.5425 0.54250627 3191434 1268.44 -182.46 65.17
0.5475 0.54750357 3256730 1216.83 -209.55 154.26
0.5525 0.55250691 3318586 1192.33 -199.47 99.97
0.5575 0.55750722 3372676 1193.33 -178.81 34.42
0.5625 0.56250780 3440018 1179.86 -216.43 65.20
0.5675 0.56750820 3494458 1128.52 -216.94 24.77
0.5725 0.57250524 3558770 1139.69 -240.32 81.28
0.5775 0.57750626 3624370 1108.56 -206.62 164.49
0.5825 0.58250790 3685228 1092.76 -209.03 106.21
0.5875 0.58750742 3747602 1084.72 -240.71 66.33
0.5925 0.59250503 3809890 1071.96 -331.19 128.57
0.5975 0.59750618 3881978 1049.24 -345.91 133.66
